country,id,pretty_link
Afghanistan,401437,"<div><a href=""/places/default/view/Afghanistan-1""><img src=""/places/static/images/flags/af.png"" /> Afghanistan</a></div>"
Aland Islands,401438,"<div><a href=""/places/default/view/Aland-Islands-2""><img src=""/places/static/images/flags/ax.png"" /> Aland Islands</a></div>"
Albania,401439,"<div><a href=""/places/default/view/Albania-3""><img src=""/places/static/images/flags/al.png"" /> Albania</a></div>"
Algeria,401440,"<div><a href=""/places/default/view/Algeria-4""><img src=""/places/static/images/flags/dz.png"" /> Algeria</a></div>"
American Samoa,401441,"<div><a href=""/places/default/view/American-Samoa-5""><img src=""/places/static/images/flags/as.png"" /> American Samoa</a></div>"
Andorra,401442,"<div><a href=""/places/default/view/Andorra-6""><img src=""/places/static/images/flags/ad.png"" /> Andorra</a></div>"
Angola,401443,"<div><a href=""/places/default/view/Angola-7""><img src=""/places/static/images/flags/ao.png"" /> Angola</a></div>"
Anguilla,401444,"<div><a href=""/places/default/view/Anguilla-8""><img src=""/places/static/images/flags/ai.png"" /> Anguilla</a></div>"
Antarctica,401445,"<div><a href=""/places/default/view/Antarctica-9""><img src=""/places/static/images/flags/aq.png"" /> Antarctica</a></div>"
Antigua and Barbuda,401446,"<div><a href=""/places/default/view/Antigua-and-Barbuda-10""><img src=""/places/static/images/flags/ag.png"" /> Antigua and Barbuda</a></div>"
Argentina,401447,"<div><a href=""/places/default/view/Argentina-11""><img src=""/places/static/images/flags/ar.png"" /> Argentina</a></div>"
Armenia,401448,"<div><a href=""/places/default/view/Armenia-12""><img src=""/places/static/images/flags/am.png"" /> Armenia</a></div>"
Aruba,401449,"<div><a href=""/places/default/view/Aruba-13""><img src=""/places/static/images/flags/aw.png"" /> Aruba</a></div>"
Australia,401450,"<div><a href=""/places/default/view/Australia-14""><img src=""/places/static/images/flags/au.png"" /> Australia</a></div>"
Austria,401451,"<div><a href=""/places/default/view/Austria-15""><img src=""/places/static/images/flags/at.png"" /> Austria</a></div>"
Azerbaijan,401452,"<div><a href=""/places/default/view/Azerbaijan-16""><img src=""/places/static/images/flags/az.png"" /> Azerbaijan</a></div>"
Bahamas,401453,"<div><a href=""/places/default/view/Bahamas-17""><img src=""/places/static/images/flags/bs.png"" /> Bahamas</a></div>"
Bahrain,401454,"<div><a href=""/places/default/view/Bahrain-18""><img src=""/places/static/images/flags/bh.png"" /> Bahrain</a></div>"
